t,epo_level,SOCS3nRNA4_Obs,SOCS3RNA_Obs
10,2.5e-09,-2.21287176316159e-05,1.52785832563077e-05
10,2.5e-09,-1.50767629792282e-05,-6.25050625904326e-05
10,2.5e-09,1.89817755491649e-06,-4.01580628118406e-05
10,2.5e-08,5.03510651335618e-05,-2.01068107680014e-05
10,2.5e-08,5.67434041957701e-05,7.1019425498614e-05
10,2.5e-08,6.20831240420877e-05,5.76701678253535e-05
10,2.5e-07,0.000457683541957348,0.000632797091667129
10,2.5e-07,0.000480355960989541,0.000648843688315993
10,2.5e-07,0.000484691340503195,0.000598936160506588
10,2.5e-06,0.00070559762501226,0.00146891727871886
10,2.5e-06,0.000743187697582128,0.00146339775339672
10,2.5e-06,0.000745288101126824,0.00151229667549066
10,2.5e-05,0.000712559720419281,0.00175944295847756
10,2.5e-05,0.000747984931124499,0.0017156033048227
10,2.5e-05,0.000789289352788742,0.00172702021430873
