t,epo_level,SOCS3nRNA4_Obs,SOCS3RNA_Obs
16,2.5e-09,0.00117341954411916,0.00575132080894128
16,2.5e-09,0.00124718713892181,0.00592546929396659
16,2.5e-09,0.00121476633422705,0.00596386766668181
16,2.5e-08,0.000949340915519432,0.00337554985951849
16,2.5e-08,0.000894530515407284,0.00336281163897503
16,2.5e-08,0.000945400470399165,0.00332731704571197
16,1.25e-07,0.00124031602607673,0.0065128222927821
16,1.25e-07,0.00117935732789869,0.00611477531088917
16,1.25e-07,0.00129398410006499,0.00620502266769507
16,2.5e-07,0.0010621688978859,0.00467746011698553
16,2.5e-07,0.00106162577965526,0.00432030865477694
16,2.5e-07,0.00110006140776038,0.00460278243426457
16,1.25e-06,0.000399626560466317,0.000373355249021737
16,1.25e-06,0.000357408543960371,0.000573255416421903
16,1.25e-06,0.000298926047715772,0.000829188297227369
16,2.5e-06,1.46858041041938e-05,0.000388603871032526
16,2.5e-06,4.27446039815473e-05,0.00018505677363855
16,2.5e-06,7.67618549594573e-05,-3.67789315381919e-05
