t,SOCS3nRNA4_Obs,SOCS3RNA_Obs
0,5.01389877294185e-05,-0.00157806188559029
9,NaN,-0.00141886419630973
10,0.000740207194492628,NaN
20,0.0013605822105703,0.0125572365945608
30,NaN,0.0203930963155209
35,0.00145798595753401,NaN
40,NaN,0.0346053628275316
45,0.00138007081753889,NaN
55,NaN,0.0449382559723997
60,0.00127475946949276,NaN
65,NaN,0.0525252891999769
75,0.00114337639478983,NaN
85,NaN,0.0633975010814953
90,0.00093310260058988,NaN
100,0.000939700182848519,0.0677152278292728
150,0.000771656383507079,0.0668224946777799
200,0.000717994338216109,NaN
