t,pSTAT_Obs,pSTAT_pSTAT_Obs
0,1.54652704935075e-05,0.00134766940731618
4.5,NaN,0.220933346808159
8,0.00285704115418314,NaN
9.5,NaN,0.312951835869609
15,0.00524534665797455,0.235121866804363
20,NaN,0.25201811657574
25,0.00550024705864264,0.16406982396075
35,0.00205162583646736,0.215682112560363
40,NaN,0.187968454889794
45,0.00265403539507079,NaN
50,NaN,0.0340943683857407
55,0.0013040473586784,NaN
60,NaN,0.0143023023825799
70,0.000278339502399213,0.00366916301947016
85,0.000217253045482101,0.00199005834702161
100,0.000298871091130555,NaN
150,0.000134018352009547,NaN
