t,IR_Obs,IRins_Obs,IRi_Obs,IRS_Obs,IRSiP_Obs,XX_Obs,XXp_Obs
0,9.49592566477346,0.00684878562715891,0.0111446006843007,13.6678736229926,0.114648672952093,9.42587519306688,0.000129443156821813
2,NaN,NaN,NaN,NaN,4.06030180634017,NaN,NaN
2.5,NaN,9.04972432834056,NaN,4.72969602968336,NaN,NaN,NaN
3,0.254694496184342,NaN,NaN,NaN,NaN,NaN,NaN
3.5,NaN,NaN,0.849496865635991,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,NaN,2.62242872983237,10.350732440147,NaN
4.5,NaN,NaN,NaN,NaN,NaN,NaN,0.00903779140631751
5,NaN,NaN,NaN,11.5637382593736,NaN,NaN,NaN
5.5,NaN,9.90138131239645,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,1.2194661296897,NaN,NaN
6.5,0.171261569148909,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,1.70850735261121,5.59970507339163,NaN,NaN,NaN
8,NaN,8.84853046415468,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,2.05775402181844,8.10079870165963,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,0.00398728164972982
10,0.089136202988526,4.96595078718728,1.25545380462115,4.34886734049647,2.69045441093676,NaN,NaN
15,0.110597273654325,6.49104093013419,2.79978783653524,9.21757552093497,1.11333814950809,9.26849032900481,0.00391923360749539
20,0.116685166010827,4.81673754206385,2.69947374570073,7.79835960553466,1.22203322631943,12.5039561801917,0.00419564991357637
25,0.0620737879611155,5.81499876547064,1.89224710875943,6.06274895476491,2.48710226903534,6.48635117004761,0.00396429840525505
30,NaN,4.33334910450411,NaN,5.44209830181901,1.69017070101266,12.8387310529608,0.00595961707064938
35,NaN,7.11131222904968,7.10336482056133,NaN,NaN,6.70425071430265,NaN
40,NaN,7.45349429442724,2.93038127950281,10.5525548314887,NaN,NaN,0.00336500344075797
45,NaN,NaN,NaN,NaN,NaN,11.2810573395499,NaN
50,NaN,4.16934240089828,3.2866369405389,NaN,NaN,NaN,0.00264096680986014
55,NaN,NaN,NaN,NaN,NaN,9.9105989294194,NaN
60,NaN,NaN,3.08173334146119,NaN,NaN,NaN,0.00300226651683292
70,NaN,NaN,4.25951527484358,NaN,NaN,6.91332788623153,0.00314943916936029
