t,IRi_Obs,IRS_Obs,IRSiP_Obs,XXp_Obs
0,0.00908779277933985,8.68195784634639,0.0521288735282545,0.00021248555269729
0.95,NaN,11.781786267659,NaN,NaN
1,NaN,NaN,1.82008686522271,NaN
1.5,0.0525685461582308,NaN,NaN,0.00107457074166894
2,NaN,5.93526022594332,1.5725599741,NaN
2.5,0.230240419484519,NaN,NaN,NaN
3,NaN,9.40422837266928,2.01157667760217,0.00314564946488491
4,0.174273716974989,10.0179053957492,1.1668347276472,NaN
4.5,NaN,NaN,NaN,0.00419034653928593
5,NaN,13.6231369217665,NaN,NaN
5.5,1.09048766821858,NaN,2.38245938290925,NaN
6.5,NaN,8.34291070856445,2.50378753750345,0.00647758837822677
7.5,0.809823446808871,NaN,NaN,NaN
8,NaN,13.9828611932355,1.52090354790463,NaN
8.5,NaN,NaN,NaN,0.00485449013081405
9.5,1.19662253422456,16.27562642141,1.40616909522084,NaN
10,1.85545921177943,10.6123455847662,1.80374099164221,0.00367445974840548
15,2.76868026231518,8.99629310304411,1.0145940513411,0.00444650025570798
20,3.39881652216359,9.84272308016483,0.906588626123007,0.00199544931879893
