t,pEGFR_Akt_Obs,Akt_Obs,pAkt_S6_Obs
0,4.95821912430191e-06,0.0235319887162583,-4.27120892680896e-05
60,0.000319676706493939,NaN,NaN
100,0.000213296690016844,NaN,NaN
200,5.65964252989435e-05,NaN,NaN
250,2.39636198281492e-05,0.010720161005152,NaN
350,1.27058106451657e-05,NaN,NaN
450,9.11544746165616e-06,NaN,NaN
500,NaN,0.0157262900277039,0.000578985814490683
550,-5.30532401758463e-06,NaN,NaN
700,-9.60172176613924e-06,NaN,NaN
800,NaN,0.0185367360523854,NaN
850,2.05631011628169e-06,NaN,NaN
950,NaN,NaN,0.000513324695444489
1000,NaN,0.0167575138648249,NaN
1500,NaN,0.018042285652868,0.000348020626167996
2000,NaN,0.0184522513956243,0.000336804226282398
2500,NaN,0.0190355155278699,0.00025284418499773
3000,NaN,0.0149106260772187,NaN
3500,NaN,NaN,0.00019836025052635
4000,NaN,NaN,0.000164224952444029
5000,NaN,NaN,0.000109113671057983
6000,NaN,NaN,4.16200684671733e-05
7500,NaN,NaN,5.11261919906429e-05
8500,NaN,NaN,-1.05436703468261e-05
