t,pEGFR_Akt_Obs,Akt_Obs,pAkt_S6_Obs
0,4.81580872267198e-06,0.0171180399267612,1.82511601091409e-05
300,8.56207513118987e-05,NaN,NaN
500,NaN,0.0230123185231536,NaN
550,NaN,NaN,0.000437856737274964
600,3.67973580103873e-05,NaN,NaN
950,1.72368081218147e-05,NaN,NaN
1000,NaN,0.0214500819166365,0.000537149257507825
1500,4.76786826727773e-06,0.0204688620370162,0.000493908901790818
2000,2.99038546511039e-06,0.0155732775747349,NaN
2500,NaN,NaN,0.000299818787913324
3000,NaN,0.019043213633669,0.000322068927305781
4000,NaN,0.0146186058302796,0.000240483726436622
4500,NaN,0.0183345287328447,NaN
5000,NaN,NaN,0.000163026611172367
6000,NaN,0.022075597953418,5.59079352519486e-05
7000,NaN,NaN,0.000108743048455205
7500,NaN,0.0223116213211303,NaN
8500,NaN,NaN,6.48095588190404e-05
