t,pEGFR_Akt_Obs,Akt_Obs,pAkt_S6_Obs
0,1.57223982084751e-05,0.0173886178776212,8.71109810420118e-06
60,0.000373230189043754,NaN,NaN
100,0.000232552793460153,NaN,NaN
200,9.36382869576661e-05,NaN,NaN
250,4.99341470530513e-05,0.0153518082991621,NaN
350,5.61942748706115e-06,NaN,NaN
400,6.44176273711198e-07,NaN,NaN
500,NaN,0.0207101311244328,NaN
550,1.58455828209471e-05,NaN,0.000591939361782842
650,1.67198073156931e-06,NaN,NaN
750,NaN,0.0209549416470974,NaN
800,6.37319811056331e-06,NaN,NaN
950,-5.54494597865397e-06,NaN,NaN
1000,NaN,0.0186820037192584,0.000492309134754079
1500,NaN,0.0225353551117539,0.000430727314736806
2000,NaN,0.0207461290587313,NaN
2500,NaN,0.0232130615695641,0.000297718428879005
3000,NaN,0.0196485400865291,0.000239931365343233
4000,NaN,NaN,0.000165602912487032
5000,NaN,NaN,0.000139131257951721
6000,NaN,NaN,7.5053452022065e-05
7000,NaN,NaN,0.000103085364314438
8500,NaN,NaN,9.03252224815354e-05
