t,pEGFR_Akt_Obs,Akt_Obs,pAkt_S6_Obs
0,-1.0517540208614e-05,0.0199218373340644,-1.94057753650156e-05
75,0.000326635106615435,NaN,NaN
150,0.00018680848961297,NaN,NaN
250,7.34207910985968e-05,0.0105245511346998,NaN
350,3.70792420617967e-05,NaN,NaN
450,-1.63730666648174e-05,0.01433180950794,NaN
550,-1.45242330478491e-06,NaN,NaN
600,NaN,NaN,0.000570976865946166
700,8.18821608562136e-06,NaN,NaN
750,NaN,0.0221310377482925,NaN
900,-2.3804188199811e-06,NaN,NaN
1000,6.40062058957614e-06,0.0186238639126418,0.000553203575015399
1500,NaN,0.018013721119148,NaN
2000,NaN,0.0201007022976126,0.000334710184370115
2500,NaN,0.0199317478860861,0.000300863581225104
3500,NaN,NaN,0.000274856869150973
4500,NaN,NaN,0.000177625533844453
5500,NaN,NaN,8.51001865982611e-05
7000,NaN,NaN,0.000130141898740785
8500,NaN,NaN,-8.99513408918862e-06
