t,pEGFR_Akt_Obs,Akt_Obs,pAkt_S6_Obs
0,9.6285384360223e-07,0.019153372589479,4.86920057218103e-07
350,3.95656894232522e-05,NaN,NaN
500,NaN,0.0189467521361818,NaN
550,NaN,NaN,0.000242705315582797
650,2.45017050267472e-05,NaN,NaN
1000,1.43346146509741e-05,0.0167527539982606,0.000280514284208534
1500,6.67257258437837e-06,0.0167701017476351,0.000297437436419552
2000,2.22514174126827e-06,NaN,NaN
2500,2.98803063101897e-07,0.0197604460091853,0.000227595797803095
3000,-1.98405694719637e-07,0.0180683079880531,0.000242196428209985
3500,1.36849085190361e-06,0.0207746298115529,NaN
4000,NaN,NaN,0.000181330832734516
4500,8.91219328441702e-07,0.0246558331231542,0.00011302725811282
5000,-2.90424514557214e-07,NaN,NaN
6000,1.28281552997105e-06,0.0202961713938329,0.000115815279480556
7000,NaN,0.0175801150793381,3.43425977074564e-05
8500,NaN,0.0200094445777167,7.02277305190233e-05
