t,pEGFR_Akt_Obs,Akt_Obs,pAkt_S6_Obs
0,6.26408156989169e-06,0.0214072478970456,5.25948489516824e-05
150,0.00019094462977058,NaN,NaN
250,0.00011845464426025,NaN,NaN
300,NaN,0.0150092596351397,NaN
400,6.88851923712442e-05,NaN,NaN
550,1.97966215305709e-05,NaN,0.000652805878756257
650,NaN,0.0170255126001388,NaN
750,1.39615408477456e-05,NaN,NaN
950,7.9872573082608e-07,NaN,NaN
1000,6.97112605483946e-06,0.0197854581191274,0.000635035323137565
1500,4.38822000800582e-07,0.0142427921669974,0.000467204643863985
2000,-1.25781594891884e-06,0.0218894052430218,NaN
2500,NaN,0.0178263896052533,0.000303590273506552
3000,NaN,0.0216916205950481,0.00026678781633163
3500,NaN,0.0206783456545386,NaN
4000,NaN,0.0223626847834133,0.00015793540128889
4500,NaN,NaN,0.000176744874910073
5000,NaN,0.0169982670874948,NaN
6000,NaN,NaN,0.000112362936238007
7000,NaN,NaN,9.65001010599824e-05
8500,NaN,NaN,4.90060294643425e-05
