t,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,89793.0624173792,-4.06708033493263e-05,0.0170911576605728,-9.69440261945543e-05,-3883.06904680422
150,NaN,NaN,NaN,NaN,794740.096192768
200,1468198.03147986,0.000269939929798865,NaN,NaN,NaN
350,NaN,NaN,NaN,NaN,517052.599767287
400,NaN,NaN,0.00741053367372967,NaN,NaN
450,956975.295225373,0.000173790856203917,NaN,NaN,NaN
550,NaN,NaN,NaN,0.00100364938191852,376181.086523122
650,NaN,0.000153548644956283,NaN,NaN,NaN
700,651588.857060184,NaN,NaN,NaN,NaN
750,NaN,NaN,0.0141289350928178,NaN,179227.699541066
900,NaN,7.5407973420671e-05,NaN,NaN,NaN
1000,491225.036525665,7.33692264663934e-05,0.0121233409441531,0.00164396756063807,207214.82566546
1500,48105.1686984351,5.54631856925144e-05,0.0172666341293938,0.0016056448553541,24336.932049009
2000,8706.84731660465,-1.21764088995426e-05,0.018536735880487,NaN,NaN
2500,NaN,NaN,0.0143709059738041,0.00117066004558074,NaN
3000,NaN,NaN,NaN,0.000775107121889536,NaN
3500,NaN,NaN,0.0150741526403545,0.000592755080762879,NaN
4000,NaN,NaN,0.015601037517001,NaN,NaN
4500,NaN,NaN,NaN,0.000142673965384536,NaN
5000,NaN,NaN,0.0193631431582336,NaN,NaN
6000,NaN,NaN,0.0165355729914805,0.000276251870467861,NaN
7000,NaN,NaN,NaN,6.60430901911899e-05,NaN
8500,NaN,NaN,NaN,-5.81748194371195e-06,NaN
