t,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,-434172.77864081,1.5568981705604e-05,0.0150897476963991,0.000128640784292019,32870.2853471477
70,3677373.51380898,NaN,NaN,NaN,2598797.59316569
150,4809228.37217896,NaN,NaN,NaN,2023619.6370024
200,3974317.80878565,0.000418908128639438,NaN,NaN,1417211.81683681
300,2231514.69493541,NaN,NaN,NaN,786479.674867566
400,2008562.85138486,NaN,0.00938355960704597,NaN,610342.335804467
450,NaN,0.00019494237812383,NaN,NaN,NaN
500,1494052.17419941,NaN,NaN,NaN,142110.088188188
550,NaN,NaN,NaN,0.00177955471799286,NaN
600,372527.459302705,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,339454.421154612
700,NaN,7.23320068866929e-05,NaN,NaN,NaN
750,182672.246295132,NaN,0.0110296288651516,NaN,NaN
800,NaN,NaN,NaN,NaN,-90970.8289212927
900,-140165.851480058,NaN,NaN,NaN,NaN
950,NaN,3.53478550910948e-05,NaN,NaN,NaN
1000,-69539.8650528764,NaN,0.0117769708384195,0.00186282853581616,-168648.778524242
1500,-468435.776757993,-9.24389387215911e-06,0.0133474726529412,0.00160774130608144,NaN
2000,NaN,9.65801147790186e-06,0.0173888095393767,NaN,NaN
2500,NaN,-2.1415319075509e-06,0.0158248540810043,0.000784430390249513,NaN
3000,NaN,1.07631524047184e-05,0.012616771216392,0.000755706017608888,NaN
3500,NaN,-4.59540290351916e-06,NaN,NaN,NaN
4000,NaN,NaN,0.0130599287353669,0.000358413886973478,NaN
4500,NaN,NaN,0.0172443137123028,0.000248785603510028,NaN
5500,NaN,NaN,0.0169206417279279,NaN,NaN
6000,NaN,NaN,NaN,6.68033585799131e-05,NaN
6500,NaN,NaN,0.0152727487589957,NaN,NaN
7000,NaN,NaN,NaN,0.000149545482704101,NaN
8500,NaN,NaN,NaN,-4.5664795889522e-05,NaN
