t,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,-1111832.62267309,8.84258903540239e-06,0.0177012508198142,3.23953776352078e-05,44505.3327225538
35,15844884.4007726,NaN,NaN,NaN,11681106.3195073
65,NaN,NaN,NaN,NaN,4300798.81738292
75,14857766.8075375,NaN,NaN,NaN,NaN
100,10989272.5539667,NaN,NaN,NaN,1196376.70161888
150,5201090.89166794,0.000362084527513738,NaN,NaN,-190061.777304209
200,2681360.23471871,NaN,NaN,NaN,148043.894677422
250,-631947.987867358,NaN,NaN,NaN,82676.6937663
300,1048661.02174711,0.000111530969406461,0.00842665914681309,NaN,67370.6437452705
350,NaN,NaN,NaN,NaN,224273.763918273
400,909360.619941962,NaN,NaN,NaN,257542.56639659
450,-788185.535316047,4.39889024729814e-06,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,647483.142946484
550,1120219.39645937,NaN,NaN,0.00161116200639991,NaN
600,NaN,NaN,NaN,NaN,-148149.123145069
650,297952.031876913,1.20849615746822e-05,0.0127287674249987,NaN,NaN
900,NaN,7.04731350608388e-06,NaN,NaN,NaN
1000,NaN,7.93415775870112e-06,0.00945038963586545,0.00140104160794995,NaN
1500,NaN,NaN,0.0143716608665442,0.000985560492076164,NaN
2000,NaN,NaN,0.019631597888297,NaN,NaN
2500,NaN,NaN,0.0114492980759999,0.000548226145946059,NaN
3000,NaN,NaN,0.0137644011752293,0.000447742091196851,NaN
4000,NaN,NaN,0.0142845127485781,0.000179690132070553,NaN
5000,NaN,NaN,NaN,0.000124633308501113,NaN
6000,NaN,NaN,NaN,-0.000114491172672637,NaN
7000,NaN,NaN,NaN,0.000167363734362845,NaN
8500,NaN,NaN,NaN,8.50738619145355e-05,NaN
