t,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,-597471.881811666,-4.03601243556561e-05,0.016472634972418,1.82366959806109e-05,-168909.641963532
35,9605833.33579486,NaN,NaN,NaN,11497798.3652165
70,13008061.1355323,NaN,NaN,NaN,6073332.2600201
100,11991962.7540208,0.000504764792855106,NaN,NaN,2185095.19275393
150,6886279.15287477,NaN,NaN,NaN,706630.547145891
200,3801711.80066134,NaN,NaN,NaN,308416.571217858
250,579405.116161263,0.000163398235979992,NaN,NaN,271586.74545314
300,519004.719768418,NaN,0.00669836578717898,NaN,422596.379172373
350,409712.240836121,NaN,NaN,NaN,-329185.572663972
400,NaN,4.51166617398767e-05,NaN,NaN,NaN
450,-931521.059079742,NaN,NaN,NaN,-643258.819410569
500,NaN,NaN,NaN,NaN,117486.133955483
550,-585855.254958966,1.80311820296669e-05,NaN,0.00157342748645628,NaN
600,NaN,NaN,0.0174997234930849,NaN,110256.82185102
650,904120.503777215,NaN,NaN,NaN,NaN
750,NaN,-1.41319846587068e-05,NaN,NaN,NaN
900,NaN,NaN,0.0127532760350835,NaN,NaN
950,NaN,5.14218755041291e-06,NaN,NaN,NaN
1000,NaN,NaN,NaN,0.00125161088448029,NaN
1500,NaN,NaN,0.0156256813076977,0.00103713746291086,NaN
2000,NaN,NaN,0.014504365719091,NaN,NaN
2500,NaN,NaN,0.0157307207844507,0.000794625896476946,NaN
3000,NaN,NaN,NaN,0.000652361667417678,NaN
3500,NaN,NaN,0.0180053779033526,NaN,NaN
4000,NaN,NaN,0.0162873001221913,0.000345261461294747,NaN
5000,NaN,NaN,NaN,0.000206506751301917,NaN
6000,NaN,NaN,NaN,9.82271096235301e-06,NaN
7000,NaN,NaN,NaN,6.18526626934598e-05,NaN
8500,NaN,NaN,NaN,2.63459482182566e-06,NaN
