t,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,-305796.313208716,-1.86326810047347e-05,0.016095629494774,7.07232551242039e-05,-43295.3585781997
40,5312744.25288769,NaN,NaN,NaN,6283552.87875088
80,9046308.8513803,NaN,NaN,NaN,4789165.60178144
100,NaN,NaN,NaN,NaN,4106264.92391829
150,7640050.52886616,NaN,NaN,NaN,2187988.00397198
200,6394748.76177784,0.000354467994508267,NaN,NaN,1156044.50451948
250,2895157.94079053,NaN,NaN,NaN,534988.776799827
300,NaN,NaN,NaN,NaN,453802.886564837
350,845671.258540447,0.000167150597641261,NaN,NaN,NaN
400,889238.098845433,NaN,0.010284170281796,NaN,-68232.796591169
450,NaN,NaN,NaN,NaN,-114896.651733262
500,700519.314265207,NaN,NaN,NaN,NaN
550,NaN,NaN,NaN,0.00179169375530869,673004.055867837
600,452618.02598469,3.04961191321999e-05,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,246224.793182552
700,115384.790030285,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,-261752.201520432
800,555229.906597368,-4.49386829100105e-06,0.0201468895871667,NaN,NaN
1000,NaN,-1.33098200035196e-05,0.0129544415972248,0.00148712203121803,NaN
1500,NaN,-1.22552305630304e-05,0.0109542552333083,0.00113183507719906,NaN
2000,NaN,NaN,0.0118191116406013,NaN,NaN
2500,NaN,NaN,NaN,0.000551413113393151,NaN
3000,NaN,NaN,0.0190460007970349,0.000593135819803877,NaN
3500,NaN,NaN,0.0123153074962015,NaN,NaN
4000,NaN,NaN,NaN,0.00034666828902204,NaN
4500,NaN,NaN,0.0174641851285221,0.000277316437920418,NaN
5500,NaN,NaN,0.015968704044936,NaN,NaN
6000,NaN,NaN,NaN,0.000124693922040967,NaN
7000,NaN,NaN,NaN,4.3588012429703e-05,NaN
8500,NaN,NaN,NaN,0.000124965753129711,NaN
