t,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,13284.7301773167,2.31160654786161e-06,0.0163110989598477,4.86720467327331e-05,-14624.8485155741
250,NaN,NaN,NaN,NaN,260026.131844702
300,617011.122982492,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,0.000643149039940783,180950.6039789
550,NaN,NaN,0.0135795671202562,NaN,NaN
600,NaN,9.26574329287072e-05,NaN,NaN,NaN
650,365763.586425299,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,142962.247581835
950,261240.047734856,NaN,NaN,NaN,NaN
1000,NaN,5.3521693529579e-05,0.0131370227062191,0.00101247610871235,93077.9480424906
1500,116917.792642239,NaN,0.0146711219509322,0.000983495750606021,49830.6534266685
2000,23030.5562952444,1.40493469702466e-05,NaN,0.000803876598760291,18989.245129374
2500,22103.3535501169,7.41001748655503e-06,0.0144635053556488,0.000892564798558105,10030.4186717812
3000,12054.7700918141,NaN,0.0170944975311979,NaN,9182.48008097768
3500,10721.1822809172,7.63631655972462e-07,NaN,0.000364371792907345,25885.0347692423
4000,NaN,NaN,0.0183128234670078,0.000257924617016856,16191.3288660737
4500,1810.87157894157,-1.9439321053403e-06,NaN,NaN,NaN
5000,NaN,NaN,0.0145583899692405,0.000297324496515135,1098.53813083741
5500,1135.23680283272,3.69881866986552e-06,NaN,NaN,NaN
6000,NaN,NaN,0.0173913240808177,0.000169588161535576,NaN
6500,-7772.32442130196,4.92231214596693e-06,NaN,NaN,NaN
7000,NaN,NaN,0.0220008573000521,NaN,NaN
7500,NaN,NaN,NaN,2.44173727796757e-05,NaN
8000,NaN,-6.18694727009987e-06,NaN,NaN,NaN
8500,NaN,NaN,0.0184254588229058,-6.78738695593785e-05,NaN
