t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,2.47299057362201,2.1461936256837,3.10165103506098
0.2,NaN,NaN,2.40726351983228
0.25,NaN,1.71151509981627,NaN
0.3,1.61791229796918,NaN,NaN
0.4,NaN,NaN,2.59808786117033
0.55,NaN,1.27893990164079,NaN
0.6,3.4040538268967,NaN,NaN
0.65,NaN,NaN,5.04623804971215
0.8,NaN,3.43603764692618,NaN
0.9,NaN,NaN,2.31184731781494
0.95,2.47841112563153,NaN,NaN
1,NaN,2.36463671936695,2.1427979241051
1.5,1.72794383575676,2.24458798750609,4.44909661020306
2,3.71554174461386,1.87223196648619,3.11794987419253
2.5,1.59269280247371,2.29718547359131,4.08794314127111
3,NaN,2.03228906619504,NaN
3.5,1.29897947393567,2.29603936889437,3.4461608593682
4,1.56945835940416,1.78351305207891,NaN
5,1.46752302470912,1.47595122334054,NaN
