t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,1.9204032880906,2.55317542308287,3.15494961024406
0.15,1.34570318924573,NaN,NaN
0.2,NaN,2.28016401679196,2.07845504006377
0.35,1.23516548432864,NaN,3.33540926321063
0.4,NaN,1.95123405424653,NaN
0.55,1.78341725608196,NaN,2.57020883777018
0.6,NaN,2.16044984921874,NaN
0.75,2.55401406670611,NaN,2.60047239103426
0.8,NaN,1.95090063496218,NaN
0.95,2.83169740297784,NaN,NaN
1,2.14688183455805,2.0976059491243,3.86580426173954
1.5,2.27519816782161,1.42067318011831,4.19985947633027
2,2.43599628671984,1.57805803862299,4.8733409241346
2.5,2.11048366302213,4.32163860250341,1.40306878951995
3,NaN,1.68165259353011,3.27204366811768
3.5,NaN,1.95437070831371,NaN
