t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,2.894092220694,2.17304805798601,4.84986858159129
0.2,NaN,1.45401448111917,4.04048590234176
0.3,2.25419315145903,NaN,NaN
0.35,NaN,NaN,2.86111513117998
0.45,NaN,3.42884197463669,NaN
0.55,3.29071389600807,NaN,1.38560644509649
0.7,NaN,2.04628087930683,NaN
0.75,NaN,NaN,4.41693578165997
0.85,2.04976261255114,NaN,NaN
0.95,NaN,1.93476991894823,NaN
1,2.15872070230716,1.87693560094081,3.16044045431761
1.5,2.88309377214683,1.78147067564297,2.37926004114445
2,2.54186975779741,2.05474193031288,4.48178995036699
2.5,1.96197316676592,1.80396262657036,2.79659573039622
3,2.55773776313197,3.03454190469331,3.45462110549461
3.5,1.30979701243686,2.04669305067678,NaN
4.5,1.686110657646,NaN,NaN
5.5,1.83685949922523,NaN,NaN
