t,npSTAT_npSTAT_Obs,nSTAT3_Obs,nSTAT4_Obs
0,0,0,3.65195417816656e-05
6,NaN,0.00566390960164284,0.0956643606398786
10,0.251266007882328,1.32620680083808,0.0873726320409709
20,0.106823490311524,0.105922296639168,0.975813848209682
25,NaN,0.418035443246206,0.0731201668306926
30,0.30043811131665,0.336603319966465,NaN
35,NaN,NaN,0.0449397708830521
40,0.0651104691851868,0.0535019236816356,0.0583097893817408
50,NaN,0.0131716960723986,0.0296063546987432
55,0.0120415584418233,NaN,NaN
60,NaN,0.00648563928100367,0.0589478798540121
70,0.0496655131202433,0.546744814576412,NaN
75,NaN,NaN,0.0771999854199606
85,0.00685705216389489,0.0827108857716582,NaN
90,NaN,NaN,0.00949686977192161
100,0.000756671213452863,0.00185522408172002,0.0025669512709982
150,0.00131541269619592,NaN,NaN
200,2.83281580548392e-05,NaN,NaN
