t,JAK2_Obs,pJAK2_Obs,STAT5_Obs,SOCS3mRNA_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,3.07579937072078,-0.0590090384247324,167.094941741174,68.1938143858629,962.519938094299,83.4005844321383,28.1009279003536,67.2089892237099
10,NaN,2.11519965973172,120.126800348981,-783.875008154601,578.185853112519,550.104392002994,1683.06105627373,787.493826537028
15,-0.171158914202231,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,71.4295147520241,NaN,NaN,NaN,960.457945276687,1604.53752124498
25,0.0704949731612211,2.88808339889728,NaN,4.80787658665665,-25.5053071380346,615.811467545506,NaN,NaN
30,NaN,NaN,72.0502333505837,NaN,NaN,NaN,NaN,NaN
35,NaN,3.27772901061311,NaN,1849.97634590115,73.9081482529314,901.585882417168,1996.85491509106,-738.740695705543
40,0.23323834178046,NaN,32.6310382106911,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,722.053752753237,NaN,455.026854443061,181.066517889027,834.979830437314
50,NaN,2.92119776713153,NaN,NaN,1464.33194791087,NaN,NaN,NaN
55,0.689252443718507,NaN,67.2062748701275,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,564.79309595754,NaN,1528.61087148807,876.899202283216,2486.32806319369
65,NaN,3.20090765142885,NaN,NaN,2389.73091200742,NaN,NaN,NaN
70,NaN,NaN,38.6781690649584,NaN,NaN,NaN,NaN,NaN
75,0.438070054018471,NaN,NaN,1388.90777024213,NaN,848.837707533271,2508.35764201446,2649.10628409855
80,NaN,2.67838358287547,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,41.7655778628378,NaN,1278.74212445638,NaN,NaN,NaN
90,0.452436266247661,NaN,NaN,NaN,NaN,NaN,1085.24677120024,2277.52978930057
95,NaN,NaN,NaN,1262.32749445334,NaN,1639.63960522163,NaN,NaN
100,0.676161323084488,1.75786704228489,92.7331637666885,1158.96776789531,1971.19756895044,2270.65320822554,1836.85638344245,1654.12332151587
150,0.571329458942017,0.772010350127639,34.8508081657263,1913.17888727528,1388.22068765293,2768.28017878687,3144.62226094665,3784.0298149013
200,0.951729640264498,1.45901926576132,77.2198157339101,3661.07028937264,3336.28700264179,3497.55888465632,2957.95263879674,5326.25775350883
250,0.568901906986974,1.18201176274868,-12.7025474120706,3925.17442309234,4530.42308528536,3992.16751163568,4847.87862887109,5337.99375963433
300,1.04760100300392,-0.0758341563105265,44.849009619439,3378.42645317412,4799.88630117928,5353.42203650813,5861.55084223894,6736.8396874471
