t,p_IL13_Rec_i_Obs,pJAK2_Obs,SOCS3mRNA_Obs,Rec_Obs,Rec_i_Obs,Compound_2_Obs
0,-0.218597705686444,0.255178855069891,0.222498339592134,1.7208922728838,243.432613037552,200.452827012101
3,NaN,NaN,NaN,2.45290022983616,268.350782947955,NaN
3.5,0.271250113731635,NaN,NaN,NaN,NaN,543.729664110591
4,NaN,-0.191986918998351,0.115436364450848,NaN,NaN,NaN
5.5,NaN,NaN,NaN,4.90623447215789,NaN,NaN
6,NaN,NaN,NaN,NaN,225.462191772551,NaN
7,NaN,NaN,NaN,NaN,NaN,484.023033788333
7.5,-0.729014512864344,0.348808689512976,NaN,NaN,NaN,NaN
8.5,NaN,NaN,0.358712402546483,NaN,NaN,NaN
9,NaN,NaN,NaN,4.16988153841268,NaN,NaN
9.5,NaN,NaN,NaN,NaN,285.420281374645,NaN
10,-0.00998603612727884,-0.0600526309465652,NaN,2.37027944291451,NaN,367.678378037138
15,-0.0548484406863783,-0.20112138725022,-0.265910218057731,3.43987705791931,389.612611021934,237.526263522205
20,-0.0536696112170908,NaN,0.17158855860407,5.03339719322297,406.45989460382,370.15511883615
25,NaN,0.0640408231540972,0.0631414319999503,2.60279883359882,342.892841472128,315.122776161545
30,0.151826314031531,-0.00177824833866067,-0.404252044510413,NaN,148.514593306092,416.919453635414
35,-0.0815027223837374,NaN,NaN,NaN,235.527147831574,NaN
40,NaN,0.180212980466527,-0.160560985536851,NaN,NaN,389.607745580431
45,NaN,NaN,NaN,NaN,44.1062819885357,NaN
