t,p_IL13_Rec_i_Obs,JAK2_Obs,SOCS3mRNA_Obs,Compound_4_Obs
0,-0.579660128249489,2.70943633288055,384.666258595574,1561.07342960187
10,2.33329449213781,0.0965767783546529,-454.001813337345,623.777994252352
20,NaN,-0.0660083884667261,NaN,1021.85527976029
25,5.87830736511352,NaN,306.361287248032,NaN
30,NaN,NaN,NaN,270.178175430638
35,4.51625351242144,-0.244674192702478,1584.81895130961,NaN
40,NaN,NaN,NaN,1766.54064611623
45,NaN,0.0999422570137961,NaN,NaN
50,3.44096732384859,NaN,416.737375386986,NaN
55,NaN,NaN,NaN,-472.798183752078
60,NaN,0.49155902560441,NaN,NaN
65,2.34731902009369,NaN,971.448308801482,NaN
70,NaN,NaN,NaN,1515.72794572812
75,NaN,0.245412631419179,NaN,NaN
80,2.34879716848032,NaN,NaN,NaN
85,NaN,NaN,877.892392556111,3608.84972465712
90,NaN,0.345986424489074,NaN,NaN
100,3.24336688888341,0.504447501869278,1416.71965016633,2731.09585013156
150,1.0590828602806,0.765559816393494,2724.70680373358,4372.56160762134
200,0.179694205246764,0.609021874192515,3510.49263944244,4688.20480242932
250,1.91338981502918,0.821906361847593,4491.43261631967,5773.72434916241
300,2.20298037862528,NaN,4201.87273150727,6569.45175952281
