t,Ins_Obs,IR1_Obs,Compound_1_Obs
0,99.5219601698474,-0.00384373082640637,2448.91886902739
3,15.0008805938109,NaN,NaN
4.5,NaN,0.53484992898858,NaN
6,9.71985366521077,NaN,NaN
9,NaN,0.289952996905891,2295.70212518774
9.5,6.41970453438924,NaN,NaN
15,3.14896660939613,0.169392612961551,NaN
20,2.49643898564321,0.128172709137341,2425.48987053013
25,2.03131219332806,0.115287978981226,2301.13769307131
35,1.68084803839191,0.0884197384899041,2436.54271004057
40,1.22282710611763,0.0840682097874321,NaN
50,1.78874854537281,0.0578350002453711,2448.74510855055
60,NaN,0.0480529294279204,2413.95112608934
75,NaN,0.0430819965908091,2457.76985267569
90,NaN,NaN,2517.7588794416
100,NaN,NaN,2299.10201713114
150,NaN,NaN,2362.59076323904
200,NaN,NaN,2446.83532965932
