t,Ins_Obs,IR1_Obs,Compound_1_Obs
0,9905.55467159208,0.170171851021312,12310.6230222875
3.5,NaN,13.3916346631628,NaN
6.5,NaN,7.62340252922716,NaN
7,3698.94822835523,NaN,NaN
10,NaN,6.66919413693216,10946.2311697841
15,3493.32666565491,6.5686016816211,NaN
20,3281.7967084526,6.3771371867729,10192.3909402777
25,NaN,6.32267116115496,NaN
30,3262.15622142566,6.31453378862506,NaN
35,NaN,6.04639872881822,11667.138822892
40,2963.64879190968,NaN,NaN
45,2820.72535958623,6.56930407173508,NaN
50,NaN,NaN,12045.7414396107
55,2802.85123358826,6.17551540714989,NaN
65,NaN,NaN,12649.7687412333
70,2621.67975364494,NaN,NaN
80,NaN,NaN,12971.0078887377
85,2338.42459354096,NaN,NaN
100,1985.03578141118,NaN,14374.0019267343
150,970.590741002155,NaN,16381.1593424714
200,618.055886646222,NaN,NaN
