t,Ins_Obs,Compound_1_Obs
0,1005.69267869167,3427.92768524602
4,161.011057064365,NaN
8,98.0945266101838,NaN
8.5,NaN,2645.97655190703
15,57.8186162811246,NaN
20,41.3451700146611,3003.51552551392
25,25.7722594200453,2902.63955949139
30,25.9842173370748,NaN
35,26.3721288380235,3241.60104426611
45,19.9889345260936,3306.98232210222
55,18.1880213698291,NaN
60,NaN,3637.81380040842
65,6.45591691721896,NaN
75,NaN,3499.58715338924
90,NaN,3833.22424349852
100,NaN,3840.39002105971
150,NaN,3978.71842083656
200,NaN,4452.77530463328
