t,CISHnRNA3_Obs,CISHRNA_Obs
0,0.00044555253003063,0.000635642326474434
65,0.000774088353882003,NaN
150,0.000487797823614531,NaN
200,0.000650902650409435,0.000860329185615756
300,0.00037546498791188,NaN
350,NaN,0.000893243400446319
400,0.000717572027549482,NaN
500,0.000644791468759139,NaN
600,0.000880634364341429,0.00131226449727504
750,0.00062317662846606,NaN
800,NaN,0.00113698555586829
950,0.000611614663959975,NaN
1000,NaN,0.00101415712509814
1500,NaN,0.00103272287946862
2000,NaN,0.00122632541667731
2500,NaN,0.00105031549530451
3500,NaN,0.000999035474638659
