t,STAT5_Obs,SOCS3nRNA2_Obs,SOCS3_Obs
0,12.3500333999866,0.00027626349227503,1.0719637281156
25,NaN,0.000298282421825174,1.04390526136718
35,11.9282990773459,NaN,NaN
45,NaN,0.000279734541054336,NaN
50,NaN,NaN,1.21460633527013
65,11.0924881367709,NaN,NaN
70,NaN,0.000277007435691053,NaN
75,NaN,NaN,0.794813468037146
100,9.88787161176505,0.000267698095733618,1.09725256961777
150,12.7746824986567,0.000259783358946497,0.946770319637758
200,13.4133878686177,0.000281613357082977,0.937936850682313
250,11.3738878847995,0.000267522218881775,0.966650932268577
300,12.8142933672411,0.000275850567204304,0.973547397707642
350,11.4004663212816,NaN,1.0008281613244
400,14.4416532689123,NaN,1.15879873683797
500,11.8261334300549,NaN,NaN
550,12.4129750832286,NaN,NaN
650,11.5982865608382,NaN,NaN
