t,STAT5_Obs,SOCS3nRNA2_Obs,SOCS3_Obs
0,13.3956334197827,0.000281758671396493,2.09148224884572
25,NaN,0.000313964301133012,NaN
30,11.0907856931875,NaN,58.2204987196357
50,NaN,0.000318305270248533,NaN
65,8.09574001945744,NaN,13.2115186364749
75,NaN,0.000646606995017599,NaN
100,7.84684265299501,0.00112906330085698,4.86247526621789
150,6.62778807996443,0.000912691541209322,5.35445429902955
200,6.83060423422812,0.000929550806065447,4.41517695306689
250,NaN,NaN,3.54197454909522
300,7.56246025851673,NaN,3.92956972163767
350,6.73587343393777,NaN,NaN
400,7.54853306695351,NaN,NaN
500,6.92667109904085,NaN,NaN
