t,STAT5_Obs,SOCS3nRNA2_Obs,SOCS3_Obs
0,12.8667732433239,0.000318651106596761,-0.386647351737108
20,NaN,0.000315720768202336,NaN
30,9.58646497232269,NaN,55.9116819729197
40,NaN,0.000212995324424888,NaN
55,9.37998667778512,NaN,NaN
60,NaN,NaN,18.7207599215578
65,NaN,0.000408387457001051,NaN
90,6.43826517792416,0.00127329547479758,6.95637726348162
100,6.11974448429431,0.00143692614073428,NaN
150,5.7284642776577,0.00129971662679123,7.27588316168204
200,5.14020209431185,0.00125468084564996,6.81255862725615
300,6.60388533362317,NaN,1.31748354744189
350,6.28184509784766,NaN,NaN
