t,PTP_Obs,nSTAT5_Obs,npSTAT5_Obs,CISHnRNA1_Obs,CISHnRNA3_Obs,CISHRNA_Obs,SOCS3nRNA5_Obs
0,203.354771299753,-0.383984151913417,0.459665776152906,0.00225279725279463,0.00517363965608768,-0.00316180579735816,0.0101259729966833
3,223.020640061829,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,1.04298359091884,5.71474489681922,NaN,NaN,NaN,NaN
6.5,203.702626774426,NaN,NaN,0.00776810658467957,-0.00311011001743782,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,0.00968283101476723
9.5,207.166377642723,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,2.7114610694528,11.607232939436,NaN,NaN,-0.0010954647697789,NaN
15,279.946861924773,NaN,NaN,0.0372415987718137,0.00782594068857307,NaN,0.0105723151458779
20,228.618134319719,9.85649542742997,16.3400840891117,0.0484128487198226,0.0144882910946754,0.00240708325339116,NaN
25,237.847481043057,12.5016736664382,16.0164368378781,0.0619821043464181,NaN,NaN,0.0213873740423953
30,243.15645516223,12.7704347128149,NaN,NaN,0.0367974229497353,NaN,NaN
35,NaN,NaN,15.7885392685241,0.0782122258423537,0.0402717680448294,0.00666428779930186,0.0301588944060836
40,250.308167194732,11.0827689597664,12.7592114152768,NaN,NaN,NaN,NaN
45,241.765728033925,NaN,NaN,0.0691143396520827,0.0566611897495011,0.0210627494244544,0.0254581430892982
50,NaN,10.4492097810457,11.3295350107334,NaN,NaN,NaN,NaN
55,218.459809684743,NaN,NaN,0.0469318032513627,0.059890862758313,NaN,NaN
60,NaN,9.10972833059982,9.81268534504591,NaN,NaN,0.0397972607099667,0.0274958278430731
65,NaN,NaN,NaN,0.0464750405124836,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,0.0484454784946631,NaN,NaN
75,NaN,6.78539854215828,6.2135640704674,NaN,NaN,NaN,0.0199010421443735
80,NaN,NaN,NaN,0.0374223345156538,0.0444158041237949,0.0760209203047361,NaN
90,NaN,NaN,3.13449524938908,NaN,NaN,NaN,0.0136982844491267
95,NaN,3.86679560045577,NaN,0.0198313738919659,0.030770437374414,NaN,NaN
100,NaN,3.14230770651739,4.16490555396063,0.0147118774376732,0.0225424109026478,0.0793311617826338,0.00904736178116938
150,NaN,NaN,NaN,NaN,0.0164973578856626,0.0434964295406893,0.00980239230327244
200,NaN,NaN,NaN,NaN,NaN,0.0247895552663439,NaN
