t,epo_level,CISHnRNA3_Obs,CISHRNA_Obs
120,2.5e-09,0.00532524666963938,0.00724762943371752
120,2.5e-09,0.00927772898176438,0.038653889753651
120,2.5e-09,0.0104250534896108,0.0135109397227686
120,2.5e-08,0.0243274949901108,0.0851846979420621
120,2.5e-08,0.0261779932627386,0.0609224729044319
120,2.5e-08,0.0280410405348188,0.0761173873723195
120,1.25e-07,0.03710886096231,0.119333708935846
120,1.25e-07,0.0418239026664234,0.109002252618522
120,1.25e-07,0.0420616507664345,0.0932128230634774
120,2.5e-07,0.0432663145850967,0.10203005926399
120,2.5e-07,0.0448176065298049,0.110696515587108
120,2.5e-07,0.0524455419217368,0.105663904915303
120,2.5e-06,0.0738441143208595,0.165982357610755
120,2.5e-06,0.0789838059676056,0.144122626015987
120,2.5e-06,0.0832566812341827,0.150874926186806
