t,PTP_Obs,nSTAT5_Obs,npSTAT5_Obs
0,38.7503431370782,-0.370753537802163,-0.0050420208901109
4.5,41.6969198882401,NaN,NaN
9,45.5799880368894,NaN,NaN
15,45.9597471326082,3.14903237506736,0.541688005866926
20,40.0768821016923,NaN,NaN
25,41.87485622543,4.56331383745192,NaN
30,40.5671446891789,NaN,0.43763221888796
40,45.2998864577017,3.88968912463633,NaN
45,37.5559175296496,NaN,0.367594281698826
55,42.7720320303312,3.12891529595926,NaN
60,NaN,NaN,0.284278706844899
65,44.4879775292945,NaN,NaN
70,NaN,2.88537308401962,NaN
80,38.1500074701564,NaN,0.272560460493784
90,NaN,2.64976144829314,NaN
100,NaN,2.90753305173688,0.280731442293242
150,NaN,2.3422795154494,0.234663976683997
200,NaN,1.8544188826032,0.174007291387425
250,NaN,2.52765829332156,0.165963573169142
