t,epo_level,npSTAT5_Obs
6,2.5e-09,-0.196565415577136
6,2.5e-09,0.142766835547707
6,2.5e-09,0.804614453699248
6,7.905e-09,-0.871300100919412
6,7.905e-09,0.0719153146263939
6,7.905e-09,0.311824599600094
6,1.25e-08,-1.09479350797247
6,1.25e-08,0.00780860695505825
6,1.25e-08,0.0716722021567573
6,1.75e-08,-0.205554273889055
6,1.75e-08,0.674713678119561
6,1.75e-08,1.43680732729003
6,2.5e-08,0.655252288429169
6,2.5e-08,0.920651182316115
6,2.5e-08,1.20223041654146
6,3.95e-08,1.98225021934637
6,3.95e-08,2.06647174204558
6,3.95e-08,3.76067052698245
6,7.9e-08,5.00355879062742
6,1.25e-07,9.67802699730363
6,1.7675e-07,11.6158535329705
6,2.5e-07,11.3345485610875
6,2.5e-07,11.4742643481087
6,2.5e-07,11.5524975139162
6,7.905e-07,16.291455072522
6,2.5e-06,16.7492765544369
6,2.5e-06,17.0377387854306
6,2.5e-06,17.3653199383713
