t,PTP_Obs,nSTAT5_Obs,npSTAT5_Obs,SOCS3nRNA5_Obs
0,5.37198485365305,-0.530901814701479,0.0702744602032786,0.000336329992676994
8.5,NaN,23.4197693855571,NaN,NaN
10,NaN,NaN,3.38593210164313,NaN
15,5.77745680329239,NaN,NaN,NaN
20,NaN,19.6214247801815,0.939045338262696,0.000338939176003628
30,5.42809888663501,8.60855712516489,NaN,NaN
35,NaN,NaN,0.211658023932976,NaN
40,NaN,5.80704402233908,NaN,NaN
45,7.04970392976752,NaN,0.256698062516586,0.000222227950229903
50,NaN,3.96961850269246,NaN,NaN
60,5.21868337474548,NaN,NaN,NaN
65,NaN,NaN,0.918317479635997,NaN
70,NaN,9.68905722270968,NaN,0.000471835100044917
80,6.47349471270078,NaN,1.63371220730103,NaN
85,NaN,13.5132698691729,NaN,NaN
100,5.2082566930143,13.847669232621,1.74894416389248,0.0012222004998345
150,5.22648226830926,NaN,1.63058404951639,0.000959836004683869
200,5.57177507028233,NaN,NaN,NaN
250,6.16384659307971,NaN,NaN,NaN
