t,epo_level,PTP_Obs,nSTAT5_Obs,npSTAT5_Obs
31,2.5e-09,38.4458318774477,1.0652933948802,2.58390462472736
31,2.5e-09,42.0026056769356,2.56114425819751,2.09389239941976
31,2.5e-09,43.9046909269086,2.51329171823241,4.78923371321194
31,2.5e-08,35.7535029934635,10.0339334215553,15.738586973038
31,2.5e-08,38.8176370122877,11.6385543214001,17.9120827332987
31,2.5e-08,44.2720606485684,13.2894543242025,19.6411061139793
31,1.25e-07,36.9644694467935,23.8639373991572,21.5338817754333
31,1.25e-07,40.8256108162375,21.193136355339,22.0825185622223
31,1.25e-07,41.0293715011229,21.773018546091,25.4872011894089
31,2.5e-07,31.4099201506776,21.3067514891735,25.1973531144633
31,2.5e-07,37.2664851641052,20.0447626287245,24.0069284461622
31,2.5e-07,39.3702875255227,21.202803654139,27.8063635518048
31,1.25e-06,39.7257047989423,23.4828121356353,27.6361895671202
31,1.25e-06,40.8352670574887,22.8229828987412,27.167238726312
31,1.25e-06,44.523171580045,22.3067402286801,28.3523912399872
31,2.5e-06,41.3889194314471,22.8658955199635,24.3702765353717
31,2.5e-06,43.8157067906519,22.5423931491657,28.9231044142282
31,2.5e-06,45.8288354560191,25.925294351857,31.1370833469349
