t,PTP_Obs,STAT5_Obs,nSTAT5_Obs,npSTAT5_Obs,CISHnRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,42.5927187188909,112.26796725153,1.15452881441376,1.82563601682017,-0.0205890130350301,0.0147195651751451,0.003485110802036,0.78522017337123
4,32.4919277064291,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,2.6114533509755,12.2751039649638,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,0.00469343701366836,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,0.00563023042326938,NaN
7,NaN,NaN,NaN,NaN,-0.0102952943639831,NaN,NaN,NaN
7.5,34.1746116704281,9.94220390684937,NaN,NaN,NaN,NaN,NaN,NaN
10,48.7981176409066,NaN,5.90046933921947,16.620518472241,NaN,0.0241709961670657,NaN,4.04570805601183
15,46.6398818722351,15.5316920157803,NaN,24.5116688991257,0.0535069196257085,NaN,0.0155995496150436,NaN
20,37.1050497477383,21.0829078508345,18.3309472195671,NaN,0.0871246789281349,0.0312107807225931,0.0234926491719007,5.73606060645111
25,41.1911518743084,NaN,18.9561708140686,26.2427227797316,NaN,0.0431351393555211,NaN,NaN
30,NaN,22.4991066574413,20.3052329271066,24.5178883392805,0.102578833783111,NaN,0.0383432515961758,7.47839403672175
35,42.4482477590584,NaN,NaN,NaN,NaN,0.0414770670002185,0.0335122018177536,NaN
40,41.919193682057,30.3729533811431,15.394847777279,22.2715689901628,0.0983709397557041,NaN,NaN,16.5482998944467
45,NaN,NaN,NaN,NaN,NaN,0.0369912936872661,0.0448889160279864,NaN
50,41.2931572581422,39.4223736967959,16.5646227768511,18.0971613276569,0.0950554620824328,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,0.0252174574275928,NaN,15.1084059698013
60,48.3174717349187,47.8428214039244,16.6207426550796,15.2873836931877,NaN,NaN,0.0298572807633742,NaN
65,NaN,NaN,NaN,NaN,0.0492666214233398,NaN,NaN,NaN
70,45.212704135549,NaN,NaN,12.75131428387,NaN,0.0236224723251497,0.0266450922322096,19.3957879587102
75,NaN,59.7299596124298,13.3129430642142,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,0.0608570076094086,NaN,NaN,NaN
85,NaN,NaN,NaN,6.3133636752508,NaN,0.0248351669327612,NaN,15.0102774107101
90,NaN,68.0095059780503,6.30814150841793,NaN,NaN,NaN,0.0161127913870228,NaN
100,NaN,60.6198210917204,6.8628849063205,10.2155080694631,0.0414894444789704,0.0274588977198781,0.00969716072819584,13.4988188520529
150,NaN,66.9219588085569,NaN,NaN,NaN,NaN,NaN,12.1889314848114
200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.4946568681156
