t,CISHnRNA3_Obs,SOCS3nRNA2_Obs,SOCS3_Obs
0,0.000438009145372083,0.000287586756887276,1.05712861062429
5.5,NaN,0.000112381776176957,NaN
7,NaN,NaN,0.808709866689731
8.5,0.000350719330478578,NaN,NaN
10,NaN,9.44595543878355e-05,NaN
15,0.000359027700663537,NaN,0.698823726717948
20,NaN,0.00011499465238282,0.688510680795383
25,0.0002464065064681,0.000127458067631168,NaN
30,NaN,NaN,0.547692794420303
35,0.000217673728982985,0.000112602962580139,NaN
40,NaN,NaN,0.576174104155806
50,0.000133727355292173,NaN,0.527533396821181
60,0.000188644630604343,NaN,0.380186159729286
75,0.000111565123024129,NaN,0.381371657802768
90,NaN,NaN,0.275438854120965
95,0.000194463817977901,NaN,NaN
100,0.00016388874474706,NaN,0.340134131250035
150,NaN,NaN,0.337823232166883
