t,PTP_Obs,nSTAT5_Obs,npSTAT5_Obs,CISHnRNA3_Obs,CISHRNA_Obs,SOCS3nRNA5_Obs
0,38.1170155313709,1.09852103157054,0.947725335373272,-0.000303762504109754,6.74788147734441e-05,0.00190689834598746
3.5,42.3881699866384,NaN,NaN,NaN,NaN,NaN
7.5,42.224839816719,NaN,NaN,NaN,NaN,NaN
10,37.0417785295683,NaN,NaN,NaN,NaN,NaN
15,36.8763359132856,13.2173371928774,23.5257443464515,NaN,0.00119455087099003,NaN
20,43.2308831375892,NaN,NaN,0.00136763621166084,NaN,0.0031144194158674
25,34.9844416967945,NaN,NaN,NaN,NaN,NaN
30,NaN,22.0321030150782,26.7417058778416,NaN,NaN,NaN
35,37.4827792954015,NaN,NaN,NaN,0.00316701013552522,NaN
40,35.6093460566419,NaN,NaN,0.0111386793086153,NaN,NaN
45,NaN,22.6952335648199,21.6143134609627,NaN,NaN,0.00608560603478998
50,41.9761667554179,NaN,NaN,NaN,0.00843437683237676,NaN
60,NaN,NaN,NaN,0.0153936389762646,NaN,NaN
65,NaN,18.36927888872,19.1588888449463,NaN,NaN,0.00456551465793451
70,NaN,NaN,NaN,NaN,0.0167862717031383,NaN
80,NaN,18.0170843240019,NaN,NaN,NaN,NaN
85,NaN,NaN,19.1776550650168,0.0136294957000925,NaN,NaN
90,NaN,NaN,NaN,NaN,0.0209511266952478,NaN
95,NaN,NaN,NaN,NaN,NaN,0.00524122695709697
100,NaN,13.2604096444798,16.9635121901645,0.0122427578209089,0.0202971390486674,0.00469420533631884
150,NaN,15.9449387460107,18.0845337828754,0.0106876453913931,0.0222033467286704,0.00447415374480513
200,NaN,11.1611113748186,16.9108775267631,0.00796965116933732,0.0182317166826601,0.00385577036110833
250,NaN,13.3076585088729,13.8828959979586,0.00987562599038839,0.0182248546573683,0.00444007416061298
300,NaN,NaN,17.1739763970634,0.00995585678941702,0.018643747953335,0.00310116441612234
