t,PTP_Obs,STAT5_Obs,nSTAT5_Obs,npSTAT5_Obs,CISHnRNA1_Obs,CISHnRNA3_Obs,CISHRNA_Obs,SOCS3nRNA2_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,41.0128574250804,98.3823196534454,-0.577946766088863,-0.737422185199779,-0.000447679413407451,-0.00145446506756864,0.00788482989191775,0.0103597418749896,0.00604609841411416,4.01628286050607
10,32.3040340501052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,43.9731158108591,8.59157950253383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,27.1458926751961,NaN,NaN,NaN,NaN,NaN,NaN
30,42.9268266446934,NaN,19.760145808952,NaN,NaN,0.0572278176161336,NaN,NaN,NaN,8.9117690143842
35,NaN,NaN,NaN,NaN,0.110109978557555,NaN,NaN,0.0395142114043646,0.0410413321272309,NaN
40,44.482273438117,26.8697079865959,NaN,NaN,NaN,NaN,0.0159129852951599,NaN,NaN,NaN
45,NaN,NaN,NaN,21.5546680581882,NaN,NaN,NaN,NaN,NaN,NaN
55,35.823417256236,NaN,15.8061838495839,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,53.4060609269633,NaN,NaN,NaN,0.0913436707108847,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.4487233624155
70,39.2030788052762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0271046860950237,NaN
75,NaN,NaN,NaN,9.82773593891229,0.0579855699122674,NaN,NaN,0.0256639147966808,NaN,NaN
80,NaN,63.2229876036496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,44.8936886232334,NaN,NaN,NaN,NaN,NaN,0.119944257984266,NaN,NaN,NaN
90,NaN,NaN,8.98717895142454,NaN,NaN,0.062568991510391,NaN,NaN,NaN,NaN
100,43.5654311476086,71.0967713465772,7.40238993587277,8.30155058776463,0.030475589719945,0.0448662943266439,NaN,0.0182845258988087,0.0187426830285181,12.7889638799419
150,40.5848463569443,57.081511823344,7.44467372838848,10.5201143983262,0.0432828929787075,0.0283682050148872,0.0785922377897272,0.0220313075396585,0.0206828830495891,12.6765702108631
200,NaN,57.0762874195388,5.75517274554342,9.88928576012157,0.037273677728639,0.0430893870643651,0.0765645250082238,0.0169052480544622,0.0193933524036418,10.1561940382184
250,NaN,57.2812004812792,6.39035423090998,7.90470193253345,0.0348654259244988,0.040417096094934,0.0773506794455291,0.0179670842988427,0.0215384788863882,10.5470941107896
300,NaN,74.2330298168062,7.21756300017555,10.0651131761693,NaN,0.0397262925462421,0.0623400397824032,NaN,NaN,9.59295646026906
350,NaN,65.331937597275,NaN,NaN,0.0316394315691307,NaN,NaN,0.0229081286064341,0.0206627782102918,9.24749742574279
400,NaN,NaN,6.43246599749704,9.73642324586471,0.0424515172548475,0.0339582830740719,0.0694659305706342,0.0199989052674947,0.019595556812776,NaN
450,NaN,NaN,8.09887203187301,NaN,NaN,0.0415655755725798,0.0671046534227826,NaN,NaN,10.7610649195292
500,NaN,NaN,NaN,NaN,0.0323124337375625,NaN,NaN,0.0202173428711817,0.0211225288651856,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,0.0698057633141285,NaN,NaN,10.5337760633864
600,NaN,NaN,NaN,NaN,0.0354455508697412,NaN,NaN,0.015523128260964,NaN,NaN
700,NaN,NaN,NaN,NaN,NaN,NaN,0.0649729252457205,NaN,NaN,NaN
