t,CISHnRNA3_Obs,CISHRNA_Obs
0,0.000471647183157494,0.000728119451650941
8,0.000401259959446453,NaN
15,0.000365097765495578,NaN
20,NaN,0.00079144697141402
25,0.000300237008900167,NaN
35,0.000227685089098526,NaN
40,NaN,0.000729796855580747
45,0.000178624442217311,NaN
55,0.00015436459804032,NaN
60,NaN,0.000486482213185406
70,0.00013386642038312,NaN
85,0.000176207171222237,0.000516460945742568
100,0.000174085955845539,0.000331931077877977
150,NaN,0.000404190548125385
200,NaN,0.000280870969315265
250,NaN,0.000317959097221274
300,NaN,0.00035613029031807
