t,PTP_Obs,nSTAT5_Obs,npSTAT5_Obs,CISHnRNA3_Obs,CISHRNA_Obs
0,41.2302619064451,0.0115093835326065,-0.004728116052349,0.000586062012121075,0.000966169293069754
4.5,42.698325651452,NaN,NaN,NaN,NaN
9.5,45.0999424303575,NaN,NaN,NaN,NaN
15,38.9365956579295,0.054726154640464,0.196331934272699,0.000286091107445336,0.000608337555480278
20,37.0133755385206,NaN,NaN,NaN,NaN
25,40.8458632695895,0.302441199003555,NaN,NaN,NaN
30,NaN,NaN,0.740104839840888,0.00082700431510464,NaN
35,40.5494524019642,NaN,NaN,NaN,0.000815928033101926
40,41.1587100802215,0.574772135672406,NaN,NaN,NaN
45,NaN,NaN,0.72146666585734,0.00203151215629551,NaN
50,37.3966193988365,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,0.00167991244322136
60,37.0984139450264,0.567371369971018,0.601206122200933,0.00323674955360853,NaN
75,46.4899285636488,0.476040462140059,NaN,NaN,0.0024250640634125
80,NaN,NaN,0.414977328217311,0.00308560975841129,NaN
95,NaN,0.318996379024693,NaN,NaN,0.00423253853549286
100,NaN,0.332532683248593,0.313091148915935,0.00244228370888478,0.00444003147324024
150,NaN,0.250374348249252,0.213946693876382,0.00151468097087987,0.00402456216389426
200,NaN,0.162082985631594,0.191762671182354,0.00140970402856109,0.00244167253464115
250,NaN,0.120882494378669,0.203370106198109,NaN,0.00199970685208881
300,NaN,NaN,NaN,NaN,0.00241002529182718
