t,PTP_Obs,nSTAT5_Obs,npSTAT5_Obs,CISHnRNA3_Obs,CISHRNA_Obs
0,41.752223592226,0.874374398745742,2.22955434061872,0.00618070170933189,0.00260469957634041
4.5,40.274342770453,NaN,NaN,NaN,NaN
7.5,NaN,NaN,13.5536943516306,NaN,NaN
8,NaN,3.54686056826721,NaN,NaN,NaN
8.5,34.9268958193721,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,-0.000343961473095865,NaN
15,37.7472668872862,9.88688669908745,27.4316099309605,NaN,-0.00874839734840336
20,42.4434570677364,NaN,NaN,0.0164944274048137,NaN
25,37.4269351573388,17.1496514915182,26.4343284471843,NaN,NaN
30,42.6099793182015,NaN,27.114542967149,NaN,0.00695153570877031
35,40.5161641741789,20.3230871994388,NaN,0.063147088079863,NaN
40,NaN,NaN,21.5686802205727,NaN,NaN
45,37.7630971632709,19.2194823548418,NaN,0.102193238288404,NaN
50,NaN,NaN,NaN,NaN,0.0426666526024264
55,42.2258371523027,NaN,14.5697643659866,NaN,NaN
60,NaN,13.3506638539275,NaN,0.0972009942729211,NaN
65,30.4601068707402,NaN,14.3540953772411,NaN,0.0916588259786531
75,38.3336297993916,9.00236521823416,NaN,0.0756071479906705,NaN
80,NaN,NaN,10.2970037569179,NaN,NaN
85,NaN,NaN,NaN,NaN,0.118153123152376
90,NaN,9.33901228511125,NaN,NaN,NaN
95,NaN,NaN,7.8562679975717,0.0568374282927421,NaN
100,NaN,7.08025323109901,7.89539718323385,0.0532342911236074,0.119128368465602
150,NaN,6.07792183820053,9.28315264165841,0.04054890673053,0.0839882984131931
200,NaN,NaN,NaN,NaN,0.0710690463521696
250,NaN,NaN,NaN,NaN,0.0700551290898613
300,NaN,NaN,NaN,NaN,0.0671472262720033
