t,epo_level,PTP_Obs,nSTAT5_Obs,npSTAT5_Obs
13,0,5.65073250597326,2.73413385132266,-0.091148294215926
13,0,6.52349287313015,-0.490676231825451,0.478711604568118
13,4.2857e-08,6.36526729823074,-0.146656213366465,0.136527966586335
13,4.2857e-08,6.52564406205214,0.25981369689268,0.0566316070881066
13,1.4286e-07,6.1004224519834,3.57823107770865,1.38095226460446
13,1.4286e-07,7.06142196603107,4.39466744425668,1.36511314000753
13,4.2857e-07,6.27170402624436,13.4470427583435,3.48620928079198
13,4.2857e-07,6.27309249928965,16.2212363746717,3.41011367071832
13,1.4286e-06,6.52507842238832,24.1014828677856,2.88569786719317
13,1.4286e-06,7.10933772552985,25.4717900535148,3.21487363766571
13,4.2857e-06,5.69086480857517,23.7895693895556,2.34377594658654
13,4.2857e-06,6.60099174232619,25.3303529948988,2.62760326901331
13,1.4286e-05,5.88192458974878,23.8435850538099,2.39164947599284
13,1.4286e-05,6.53670211479384,28.7494141576524,2.06165588285263
13,4.2857e-05,6.06458187153807,24.7739102658354,2.32153407965464
13,4.2857e-05,6.78767502518361,30.1981454005928,2.40768924599764
