t,IPR_R_Obs,IPR_I1_Obs,IPR_A_Obs
0,0.494167183841634,1.02519949419571e-09,0
0.08,0.0530460505057169,NaN,NaN
0.1,NaN,NaN,1.02345454983292
0.15,0.00191376610730688,2.7965733795286e-07,NaN
0.25,0.00131735620570801,NaN,1.05681081973126
0.3,NaN,4.08691788030951e-07,NaN
0.4,0.000616942729786809,NaN,1.08021953654718
0.5,0.000710802193340192,7.69350500191952e-08,0.474719756413468
0.65,0.00118274391768221,2.71750901908709e-07,0.626202947416351
0.85,0.000474633620924486,1.71529945913316e-07,0.754692810791485
1,NaN,4.91031666265594e-08,0.670515951864957
1.5,NaN,2.13977461849273e-08,0.442624740805059
2,NaN,7.91024890860308e-09,1.02234234467194
2.5,NaN,3.0622142134442e-09,NaN
3,NaN,2.22669846826267e-09,NaN
