t,IPR_R_Obs,IPR_I1_Obs,IPR_A_Obs
0,1.30171367623233,9.16073779077665e-10,0
0.1,0.118858829269853,NaN,NaN
0.15,NaN,NaN,0.513963562059918
0.2,0.00630329078229951,NaN,NaN
0.3,NaN,6.11291742322824e-07,0.468778097380228
0.35,0.000786826031167808,NaN,NaN
0.45,NaN,NaN,0.734169081368605
0.5,0.0018725995365996,NaN,NaN
0.55,NaN,1.137996119704e-07,NaN
0.6,NaN,NaN,0.482584779019325
0.65,0.000877239515727544,NaN,NaN
0.8,0.00134070793134172,NaN,0.707092124056118
0.9,NaN,1.17934326347866e-07,NaN
1,0.00105718732451667,7.88193343899827e-08,1.36314334045361
1.5,NaN,7.49665911093576e-08,0.558324419490487
2,NaN,2.64832194551809e-08,0.579809504811902
2.5,NaN,6.4966307754912e-09,1.04800651892444
3,NaN,2.83295720947508e-09,NaN
3.5,NaN,1.47592165827654e-09,NaN
4,NaN,2.61558897573843e-09,NaN
5,NaN,1.42891677422408e-09,NaN
