t,IPR_R_Obs,IPR_I1_Obs,IPR_A_Obs
0,0.899418020148226,9.25083319242145e-11,0
0.09,NaN,NaN,0.473249866256951
0.095,0.0180797626826075,NaN,NaN
0.2,0.000960132622103438,NaN,0.661000182924096
0.25,NaN,NaN,0.248215943858946
0.3,0.00135034438344789,4.80167172696137e-07,NaN
0.4,NaN,NaN,0.653445367247645
0.45,0.000991984297655503,NaN,NaN
0.5,NaN,NaN,0.689838008122518
0.6,0.00223242283478613,2.27083479570259e-07,0.310149660726814
0.75,0.00130386062058923,NaN,0.3530968581884
0.95,0.000847535254572221,7.21789624385192e-08,0.312416950962404
1,NaN,NaN,0.421906560142196
1.5,NaN,1.71239368784901e-08,0.381548406196646
2.5,NaN,2.88101544198762e-09,NaN
3,NaN,6.60599615809163e-10,NaN
