t,IPR_R_Obs,IPR_I1_Obs,IPR_A_Obs
0,0.899089992621274,5.91585683494018e-12,0
0.08,0.0191710458942256,NaN,NaN
0.1,NaN,NaN,0.228233105209308
0.15,0.00473373555930914,NaN,NaN
0.25,0.00113107707883754,NaN,0.566527166675717
0.35,0.000766992738996016,NaN,0.657327826672017
0.5,0.000521721957772352,NaN,0.538190503803194
0.6,0.000637287674842624,NaN,NaN
0.65,NaN,NaN,0.393199857534612
0.75,0.0011234571683655,NaN,NaN
0.8,NaN,NaN,0.402778286665959
0.95,0.00134807141282121,NaN,NaN
1,NaN,NaN,0.377872818193075
1.5,NaN,NaN,0.186460508008274
2,NaN,5.6151974042737e-09,0.330149332198645
4,NaN,2.27606591642545e-10,NaN
7,NaN,2.18926723372906e-11,NaN
9.5,NaN,1.27860595274511e-11,NaN
15,NaN,2.04888227043888e-11,NaN
