t,IPR_R_Obs,IPR_I1_Obs,IPR_A_Obs
0,0.529345547743434,2.18130417231827e-09,0
0.075,0.027548664287564,NaN,NaN
0.1,NaN,NaN,0.941744662098954
0.15,0.00212002086084163,2.62134302734935e-07,NaN
0.25,0.00145420194959765,NaN,0.640413226220032
0.3,0.00119496943249853,4.20045059538133e-07,NaN
0.4,0.00096069250241386,NaN,0.234107415638761
0.45,NaN,1.2612353556433e-07,NaN
0.55,0.00079766974034478,NaN,0.937065354858475
0.6,NaN,1.36878617964001e-07,NaN
0.65,0.000927828997698476,NaN,NaN
0.7,NaN,NaN,0.99159500802258
0.8,NaN,1.18985438997945e-07,NaN
0.85,0.000661428226230476,NaN,0.686961095844991
1,NaN,6.45255719001609e-08,0.472637944764325
1.5,NaN,2.70381039455281e-08,0.620662007659994
2,NaN,1.73164542433738e-08,0.497434777436393
2.5,NaN,1.65370921078114e-09,1.0909138180978
3,NaN,2.80149348613743e-09,NaN
