t,IPR_R_Obs,IPR_I1_Obs,IPR_A_Obs
0,0.750763881059847,9.87603621999241e-10,0
0.08,0.421904321198031,NaN,NaN
0.15,0.111268678560448,NaN,1.39542764815057
0.2,NaN,1.86973332078894e-06,NaN
0.25,0.046277075521412,NaN,NaN
0.3,NaN,NaN,1.0744218850324
0.35,0.00877107715437037,NaN,NaN
0.4,NaN,4.21006975326834e-07,NaN
0.45,0.0026503102629146,NaN,0.551290154217997
0.6,0.00135472884797933,8.16214025554522e-07,0.386336246930444
0.75,0.000562867628556085,NaN,NaN
0.8,NaN,3.6188159291919e-07,0.988253113320301
0.9,0.00142942668944952,NaN,NaN
1,NaN,2.18358057922827e-07,0.643196666456627
1.5,NaN,1.22806701002447e-07,1.04389466070129
2,NaN,2.48961918890193e-08,NaN
2.5,NaN,8.13176766951773e-09,NaN
3,NaN,5.02300155663157e-09,NaN
4,NaN,1.09718415513578e-09,NaN
