t,IPR_R_Obs,IPR_I1_Obs,IPR_A_Obs
0,1.77097201465201,6.476592170911e-11,0
0.1,0.00216984177847702,NaN,0.994628943408669
0.2,NaN,4.41049540844193e-07,NaN
0.25,0.000783324727726801,NaN,0.719387554055125
0.35,0.000719022145057062,1.93466613656217e-07,0.60145331246007
0.5,0.000518135609356442,NaN,0.22710453981576
0.55,NaN,1.5936900561722e-07,NaN
0.65,NaN,NaN,0.250503727978322
0.7,0.000525158087545219,NaN,NaN
0.75,NaN,5.17719431409905e-08,NaN
0.8,NaN,NaN,0.896758505142822
0.9,0.000466231062395418,NaN,NaN
1,0.000877332809114919,3.32572747907504e-08,0.275457798840488
1.5,NaN,2.43582623370023e-08,0.458057474103392
2,NaN,8.04652709738828e-09,0.299427296260303
2.5,NaN,1.01176685296228e-09,NaN
3,NaN,7.50622863835413e-10,NaN
3.5,NaN,2.38782500642029e-10,NaN
