t,ApoER2_Dab1_Obs,ApoER2_Dab1SFK_Obs,ApoER2_Dab1SFKInh_Obs,ApoER2_Dab1_released_Obs,SFK_Obs
0,1.37943785270796,1.78586112653524e-11,0.00068676770740433,1.80457014039297e-09,3.38059755123767e-10
4.5,NaN,NaN,NaN,2.56471130910904e-09,NaN
7,NaN,1.38759973927011e-11,NaN,NaN,NaN
9,NaN,NaN,NaN,2.92143023117514e-09,NaN
10,NaN,NaN,0.000860263691193746,NaN,NaN
15,NaN,9.55208045317595e-12,NaN,2.64903435277942e-09,NaN
20,NaN,1.41336023856383e-11,0.000726902627391503,2.33362079018389e-09,NaN
25,1.02779724381086,NaN,NaN,2.19097282971953e-09,2.69929224419972e-10
30,NaN,1.10842382090797e-11,0.000580849082735242,NaN,NaN
35,NaN,NaN,NaN,2.22543940404387e-09,NaN
40,NaN,1.59623994368501e-11,NaN,NaN,NaN
45,NaN,NaN,0.000917802583341922,2.32578819621742e-09,NaN
50,NaN,1.48109306706251e-11,NaN,NaN,NaN
55,1.12128814301248,NaN,0.000925591151318152,NaN,2.24072187779171e-10
70,NaN,NaN,0.000963480943355118,NaN,NaN
80,0.952897720202162,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,3.00954518558521e-10
90,NaN,NaN,0.00107403160674341,NaN,NaN
100,1.02006109801648,NaN,0.000719109950255264,NaN,1.85657560662634e-10
150,1.23000534903832,NaN,0.000672680540187141,NaN,2.54476930774263e-10
200,1.01445822533741,NaN,NaN,NaN,2.59953255628117e-10
250,0.867182593917104,NaN,NaN,NaN,2.79884954548919e-10
300,1.04996011790632,NaN,NaN,NaN,3.23898284743306e-10
350,1.50889829228045,NaN,NaN,NaN,2.84323284471672e-10
450,1.19830545563691,NaN,NaN,NaN,2.10591196156322e-10
550,1.07425456296785,NaN,NaN,NaN,3.00827660771754e-10
