t,ApoER2_Dab1_Obs,ApoER2_Dab1SFK_Obs,ApoER2_re_Dab1SFK_Obs,ApoER2_Dab1_released_Obs,SFK_Obs,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1_Obs
0,1.09538138089965,8.95083864781051e-05,1.31995521861197e-06,0.0269263266475933,0.00098391612369236,0,0
8,NaN,7.83811069827597e-07,NaN,NaN,NaN,NaN,NaN
15,NaN,7.27097676936103e-07,NaN,NaN,NaN,NaN,NaN
20,0.76300014097417,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,9.94622605308291e-07,NaN,NaN,NaN,0.0693784115509161,0.000152478362244762
30,NaN,NaN,NaN,0.475477124062899,1.63592518474629e-05,NaN,NaN
35,NaN,9.3236615854604e-07,NaN,NaN,NaN,NaN,NaN
40,0.400306543862473,NaN,0.000660319708138693,NaN,NaN,NaN,NaN
45,NaN,9.92254639219713e-07,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,0.000167467011618801
55,NaN,NaN,NaN,NaN,NaN,0.09354988288786,NaN
60,NaN,6.40957087194872e-07,NaN,0.474828328074558,NaN,NaN,NaN
65,0.478222241677818,NaN,NaN,NaN,1.36255297979798e-05,NaN,NaN
75,NaN,6.71817671610617e-07,0.000715925331598587,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,0.000116879581591453
85,NaN,NaN,NaN,NaN,NaN,0.0555181582149872,NaN
90,0.229414278638951,7.07963462113352e-07,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,0.607615538711875,NaN,NaN,NaN
100,0.257018010233098,6.25495264556738e-07,0.000628109323433932,NaN,1.98875877497136e-05,0.0409007592838732,8.26584240509373e-05
150,0.168342232496986,6.06383443671551e-07,0.000795160194144794,0.457039045536534,5.95402122497607e-05,0.0238248613736059,6.08900967797666e-05
200,0.0552188815135076,NaN,0.000611406575031382,0.363324646149438,0.000167380642854916,0.00934652612263093,2.26185544897957e-05
250,0.0148035650632271,NaN,NaN,0.203774205345379,0.000437856892661273,0.00406189895503607,9.44351677303564e-06
300,0.00451677116979717,NaN,0.000506997600244893,0.175966557156753,0.000435803983760195,0.00126208300900088,5.11172225150189e-06
350,NaN,NaN,0.000254496060077186,NaN,NaN,0.000579201508954178,4.1631660788989e-06
400,0.00268689932769548,NaN,NaN,0.105592775214217,0.000649350761348888,NaN,NaN
450,NaN,NaN,0.000144787824876112,NaN,0.000652662351657756,0.000269363095631911,NaN
500,NaN,NaN,NaN,0.0634528875777813,NaN,0.000276609132363713,NaN
600,NaN,NaN,0.000105429114528779,0.0685384595489893,0.000637690254979788,NaN,NaN
