t,ApoER2_Dab1_Obs,ApoER2_Dab1SFK_Obs,ApoER2_Dab1SFKInh_Obs,ApoER2_Dab1_released_Obs,SFK_Obs
0,0.77838572692616,1.89716599499967e-11,0.000772667445620814,2.32855591602376e-09,3.45137100668315e-10
20,NaN,1.20958520453731e-11,NaN,NaN,1.33443424120631e-10
30,0.610997127812868,NaN,NaN,1.61182291910592e-08,NaN
35,NaN,NaN,0.000464397614740352,NaN,1.4492593602312e-10
40,NaN,1.09861295534057e-11,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,1.44913785383315e-10
60,0.326462219820297,NaN,NaN,2.06789119138381e-08,NaN
65,NaN,8.5879599931781e-12,NaN,NaN,NaN
70,NaN,NaN,0.000244488047277536,NaN,NaN
80,NaN,NaN,NaN,NaN,9.35759867784907e-11
90,0.495558998205065,1.1165863206709e-11,NaN,4.53166599671177e-08,NaN
100,NaN,1.38754170427989e-11,0.000182690066982588,5.54022416015487e-08,1.27444925481023e-10
150,0.193717220488736,9.42428923086182e-12,0.000160213488815671,4.19862398262512e-08,1.05171644289133e-10
200,0.130101811981235,NaN,8.97260401992621e-05,6.41012915943709e-08,NaN
250,0.11507477639386,NaN,4.45111033845488e-05,6.9748165520426e-08,NaN
300,0.0697159048958453,NaN,1.75701230010027e-05,7.17569949202893e-08,NaN
400,0.0331363192135592,NaN,6.0728001467196e-06,8.6970671045603e-08,NaN
450,0.0324680432638291,NaN,4.15343377552211e-06,5.92757889185662e-08,NaN
550,0.0333552822582655,NaN,NaN,NaN,NaN
600,NaN,NaN,1.36364999438104e-06,7.91864368336537e-08,NaN
