t,ApoER2_Dab1_Obs,ApoER2_Dab1SFK_Obs,ApoER2_Dab1_released_Obs,SFK_Obs,pApoER2_re_Dab1_Obs
0,1.21334576316041,6.21933567248917e-05,0.0302443667293885,0.000950014615891393,0
15,NaN,4.7591439000646e-05,0.187180847958933,NaN,NaN
20,0.764059298462883,NaN,NaN,NaN,NaN
30,NaN,4.34195649709524e-05,NaN,0.000537385272159604,NaN
35,NaN,NaN,0.163496049974608,NaN,0.00104053617135444
45,0.817283505872948,3.88431548543682e-05,NaN,NaN,NaN
55,NaN,NaN,0.136937267974847,0.000448126283539939,NaN
65,NaN,4.77218742015804e-05,NaN,NaN,NaN
70,0.82638555212769,NaN,0.159134253203897,NaN,0.000868232667451657
80,NaN,4.41648734280812e-05,NaN,NaN,NaN
85,NaN,NaN,NaN,0.000486829999480707,NaN
95,0.987116569357051,NaN,0.156342706862643,NaN,NaN
100,0.947770801642102,4.30608732181932e-05,0.13404201213814,0.000799103966098881,0.000555990363849766
150,0.919172728464387,8.59152317502942e-05,0.0792574593079705,0.000452538263858557,0.000315518384651595
200,0.756407970180572,5.75049789575223e-05,0.0660827959549199,0.000515958979211207,0.000201377673523629
250,0.514906666815387,4.17815781075409e-05,0.0676921289645334,0.000731496474435001,0.00012607962089669
300,1.36955513554012,5.76937886109022e-05,0.0389699469463191,0.000472084866633464,6.62007884411558e-05
350,0.672243940702735,9.92769822468043e-05,0.036836509087046,0.000489518967133818,NaN
400,0.684897984906462,NaN,NaN,0.000680387798394175,1.92460803734376e-05
500,0.784059275084999,NaN,NaN,NaN,9.11171219630299e-06
600,0.923012856911693,NaN,NaN,NaN,3.22037835656189e-06
