t,Rec_Obs,Rec_i_Obs,pJAK2_Obs,DecoyR_Obs
0,1.21085457511285,565.660827665859,0,0.303545357168633
3.5,NaN,NaN,NaN,0.11253342922125
7.5,NaN,NaN,NaN,0.0328031998191609
10,2.84788597811662,NaN,NaN,0.0161335050022445
15,NaN,352.437204973677,2.85149620939513,0.00343168639838083
20,NaN,NaN,NaN,0.000650098214361689
25,2.98754707373862,NaN,2.28937299413766,NaN
30,NaN,393.356791946953,NaN,2.97480501251073e-05
35,2.80521652618319,NaN,NaN,NaN
40,NaN,NaN,2.49824430323889,NaN
45,NaN,456.894639264776,NaN,NaN
50,2.78673059368017,NaN,NaN,NaN
55,NaN,NaN,2.33077823449773,NaN
60,NaN,393.363934051033,NaN,NaN
65,3.29214724615054,NaN,NaN,NaN
70,NaN,NaN,2.05871051881022,NaN
75,NaN,470.254762353765,NaN,NaN
80,3.04347458774281,NaN,NaN,NaN
90,NaN,NaN,1.99705093175875,NaN
95,2.86614425701762,NaN,NaN,NaN
100,2.54862894608316,374.755466437002,1.91260802103223,NaN
150,2.0889870954925,390.252537112362,1.53275441878354,NaN
200,2.21833219119784,282.466296448719,1.43807160600887,NaN
250,2.31509655316001,293.192350538034,1.36967348566585,NaN
300,2.28041053768088,321.112663275194,NaN,NaN
