t,Rec_Obs,Rec_i_Obs,DecoyR_Obs
0,1.52976877513996,438.104435872963,0.350228814101141
7,NaN,NaN,0.235013463677436
10,3.99860503963537,367.737624410639,NaN
15,NaN,NaN,0.141182756910065
20,NaN,NaN,0.0890186393776479
25,3.17839158253664,392.44497011042,NaN
30,NaN,NaN,0.0527655659809121
35,3.57866614275365,467.20919995766,NaN
40,NaN,NaN,0.0263524029547983
50,4.51297031436127,596.631108434334,0.013152929754883
65,3.71039396310269,421.810745172386,0.00635085702506756
80,4.03812079588641,425.811324325501,0.00213633881640323
95,5.02433668654702,456.649231260006,NaN
100,3.7287280626147,536.59819510835,0.000481486715633416
150,3.86584328236907,503.538572529981,NaN
200,3.33102754524776,416.895243009488,NaN
250,3.1276983025394,428.354501115489,NaN
300,4.51364041863214,420.770795592094,NaN
