t,ppS2_ppS3_ppS3_Obs,geneL_Obs
0,0.0162195018887185,1.0313258983901
60,NaN,0.561681920683853
70,0.78558966043632,NaN
100,NaN,0.559717312806793
150,0.5911632142265,NaN
200,0.470805397406334,0.479157920348947
250,NaN,0.480350452178573
300,0.324456094737814,0.468235243716993
400,0.215098926697607,0.445872543186305
500,0.159279201744728,0.76367317429247
600,0.0984536733891315,0.717798962948979
700,NaN,0.841134005863715
750,0.0658689504526525,NaN
850,NaN,0.748892363083458
900,0.0368485620775533,NaN
1000,0.0354851027727058,0.882457504820728
1500,0.0581694094611421,NaN
