t,S2_S4_S4_Obs,ppS3_S4_S4_Obs
0,0.0905605335848435,0.0448997283254311
75,0.10809029778936,0.0566931208685614
150,0.0118225873096098,0.100946467837062
250,-0.0426770041918034,-0.133235020967795
300,-0.00439277332771156,NaN
350,NaN,-0.0106010288407755
400,0.0393626613666649,NaN
450,NaN,0.0340475277044469
550,0.111474487777365,-0.0520154668953752
650,0.109988474216109,-0.105345256994555
800,-0.0628698647629586,-0.0455984126143479
1000,-0.152108651441122,-0.0175273094424074
1500,-0.00961771592879679,0.0954434118488759
