t,ppS2_ppS3_ppS3_Obs,geneL_Obs
0,0.00687740912247778,0.985374552075367
65,0.778084789451323,0.670335936785879
150,0.615565573895826,0.418083536974567
200,0.458684452064547,0.490432064174814
300,0.312016043218266,0.525269536889681
350,0.251109705610498,NaN
400,NaN,0.638009334722419
450,0.175088640555103,NaN
500,NaN,0.745927953311266
550,0.0827364046083256,NaN
600,NaN,0.821627168444194
700,0.0177896300605776,NaN
750,NaN,0.804328137986406
850,0.0480164383287266,NaN
950,NaN,0.775231143882263
1000,0.021935289958667,0.905632059545315
