t,S2_S4_S4_Obs,ppS3_S4_S4_Obs
0,0.0684778479505761,0.108983396475836
70,0.0557674545105963,NaN
85,NaN,0.0653599611755101
150,-0.135105125179799,-0.150624388883345
200,0.115476616317797,NaN
250,NaN,-0.0527419010891092
300,0.0566671123737552,NaN
350,NaN,-0.0246654042172804
400,-0.223359090451987,NaN
500,0.00197539701463223,0.145368890067473
600,0.0984332890779935,-0.144082702733661
700,-0.0422421086039853,NaN
750,NaN,-0.108187778169187
850,0.0769096662389747,NaN
950,NaN,0.146176043704156
1000,-0.0244608371469152,-0.00809730960152377
1500,0.062403260925191,-0.0865156741250561
