t,S2_S4_S4_Obs,ppS3_S4_S4_Obs
0,0.0139736433340031,-0.115602954519853
70,0.114206419589154,NaN
75,NaN,-0.0131315598194536
150,-0.118936529915956,-0.0203027561532959
200,-0.0350950322796263,NaN
250,NaN,-0.0169045580980018
300,0.0683357008667647,-0.0851211425259312
400,-0.0143507555047506,0.134674207804805
500,0.0432272671733105,NaN
550,NaN,-0.0741265485331953
650,-0.0232122934160871,-0.0410027664538709
800,0.0666332748969262,-0.027837726802322
950,-0.0149433222180974,NaN
1000,-0.116698216695553,-0.118760527336759
1500,0.041063550881688,-0.103240945894851
